project,access,cc,is_constructor,method_fen,class_name_guess,method_name,params_types,file,line_number
math3.6.1,public,4,False,"org.apache.commons.math3.util.ArithmeticUtils.pow(long,long)",ArithmeticUtils,pow,"long,long",org/apache/commons/math3/util/ArithmeticUtils.java,765
math3.6.1,private,4,False,org.apache.commons.math3.util.Combinations$LexicographicComparator.lexNorm(int[]),Combinations$LexicographicComparator,lexNorm,int[],org/apache/commons/math3/util/Combinations.java,391
math3.6.1,public,4,False,org.apache.commons.math3.util.Combinations.iterator(),Combinations,iterator,,org/apache/commons/math3/util/Combinations.java,131
math3.6.1,public,4,False,org.apache.commons.math3.util.CombinatoricsUtils.factorialLog(int),CombinatoricsUtils,factorialLog,int,org/apache/commons/math3/util/CombinatoricsUtils.java,317
math3.6.1,public,4,False,"org.apache.commons.math3.util.CompositeFormat.parseFixedstring(String,String,ParsePosition)",CompositeFormat,parseFixedstring,"String,String,ParsePosition",org/apache/commons/math3/util/CompositeFormat.java,169
math3.6.1,public,4,False,"org.apache.commons.math3.util.CompositeFormat.parseNumber(String,NumberFormat,ParsePosition)",CompositeFormat,parseNumber,"String,NumberFormat,ParsePosition",org/apache/commons/math3/util/CompositeFormat.java,139
math3.6.1,public,4,False,org.apache.commons.math3.util.DefaultTransformer.transform(Object),DefaultTransformer,transform,Object,org/apache/commons/math3/util/DefaultTransformer.java,46
math3.6.1,public,4,False,org.apache.commons.math3.util.FastMath.ceil(double),FastMath,ceil,double,org/apache/commons/math3/util/FastMath.java,3463
math3.6.1,public,4,False,"org.apache.commons.math3.util.FastMath.floorDiv(int,int)",FastMath,floorDiv,"int,int",org/apache/commons/math3/util/FastMath.java,3938
math3.6.1,public,4,False,"org.apache.commons.math3.util.FastMath.floorDiv(long,long)",FastMath,floorDiv,"long,long",org/apache/commons/math3/util/FastMath.java,3968
math3.6.1,public,4,False,"org.apache.commons.math3.util.FastMath.floorMod(int,int)",FastMath,floorMod,"int,int",org/apache/commons/math3/util/FastMath.java,3998
math3.6.1,public,4,False,"org.apache.commons.math3.util.FastMath.floorMod(long,long)",FastMath,floorMod,"long,long",org/apache/commons/math3/util/FastMath.java,4028
math3.6.1,private,4,False,"org.apache.commons.math3.util.FastMath.tanQ(double,double,boolean)",FastMath,tanQ,"double,double,boolean",org/apache/commons/math3/util/FastMath.java,1955
math3.6.1,public,4,False,org.apache.commons.math3.util.FastMath.toRadians(double),FastMath,toRadians,double,org/apache/commons/math3/util/FastMath.java,3045
math3.6.1,package-private,4,False,"org.apache.commons.math3.util.FastMathCalc.expint(int,double)",FastMathCalc,expint,"int,double",org/apache/commons/math3/util/FastMathCalc.java,491
math3.6.1,package-private,4,False,"org.apache.commons.math3.util.FastMathCalc.splitReciprocal(double,double)",FastMathCalc,splitReciprocal,"double,double",org/apache/commons/math3/util/FastMathCalc.java,402
math3.6.1,public,4,False,org.apache.commons.math3.util.MathArrays.checkNonNegative(long[][]),MathArrays,checkNonNegative,long[][],org/apache/commons/math3/util/MathArrays.java,628
math3.6.1,public,4,False,org.apache.commons.math3.util.MathUtils.checkFinite(double[]),MathUtils,checkFinite,double[],org/apache/commons/math3/util/MathUtils.java,270
math3.6.1,public,4,False,org.apache.commons.math3.util.MultidimensionalCounter$Iterator.next(),MultidimensionalCounter$Iterator,next,,org/apache/commons/math3/util/MultidimensionalCounter.java,106
math3.6.1,public,4,True,org.apache.commons.math3.util.MultidimensionalCounter.MultidimensionalCounter(int[]),MultidimensionalCounter,MultidimensionalCounter,int[],org/apache/commons/math3/util/MultidimensionalCounter.java,170
math3.6.1,public,4,False,"org.apache.commons.math3.util.OpenIntToDoubleHashMap.put(int,double)",OpenIntToDoubleHashMap,put,"int,double",org/apache/commons/math3/util/OpenIntToDoubleHashMap.java,405
math3.6.1,public,4,False,"org.apache.commons.math3.util.OpenIntToFieldHashMap.put(int,T)",OpenIntToFieldHashMap,put,"int,T",org/apache/commons/math3/util/OpenIntToFieldHashMap.java,418
math3.6.1,public,4,False,"org.apache.commons.math3.util.Precision.round(double,int,int)",Precision,round,"double,int,int",org/apache/commons/math3/util/Precision.java,443
math3.6.1,public,4,True,"org.apache.commons.math3.util.ResizableDoubleArray.ResizableDoubleArray(int,double,double,ExpansionMode,double[])",ResizableDoubleArray,ResizableDoubleArray,"int,double,double,ExpansionMode,double[]",org/apache/commons/math3/util/ResizableDoubleArray.java,395
math3.6.1,protected,4,False,"org.apache.commons.math3.util.ResizableDoubleArray.checkContractExpand(double,double)",ResizableDoubleArray,checkContractExpand,"double,double",org/apache/commons/math3/util/ResizableDoubleArray.java,553
math3.6.1,public,4,False,"org.apache.commons.math3.util.ResizableDoubleArray.setElement(int,double)",ResizableDoubleArray,setElement,"int,double",org/apache/commons/math3/util/ResizableDoubleArray.java,963
math3.6.1,public,4,False,org.apache.commons.math3.util.TransformerMap.transform(Object),TransformerMap,transform,Object,org/apache/commons/math3/util/TransformerMap.java,140
math3.6.1,public,3,False,org.apache.commons.math3.analysis.FunctionUtils.add(DifferentiableUnivariateFunction[]),FunctionUtils,add,DifferentiableUnivariateFunction[],org/apache/commons/math3/analysis/FunctionUtils.java,198
math3.6.1,public,3,False,org.apache.commons.math3.analysis.FunctionUtils.add(UnivariateDifferentiableFunction[]),FunctionUtils,add,UnivariateDifferentiableFunction[],org/apache/commons/math3/analysis/FunctionUtils.java,163
math3.6.1,public,3,False,org.apache.commons.math3.analysis.FunctionUtils.compose(DifferentiableUnivariateFunction[]),FunctionUtils,compose,DifferentiableUnivariateFunction[],org/apache/commons/math3/analysis/FunctionUtils.java,108
math3.6.1,public,3,False,org.apache.commons.math3.analysis.FunctionUtils.compose(UnivariateDifferentiableFunction[]),FunctionUtils,compose,UnivariateDifferentiableFunction[],org/apache/commons/math3/analysis/FunctionUtils.java,73
math3.6.1,public,3,False,org.apache.commons.math3.analysis.FunctionUtils.multiply(UnivariateDifferentiableFunction[]),FunctionUtils,multiply,UnivariateDifferentiableFunction[],org/apache/commons/math3/analysis/FunctionUtils.java,251
math3.6.1,public,3,False,org.apache.commons.math3.analysis.differentiation.DSCompiler.checkCompatibility(DSCompiler),DSCompiler,checkCompatibility,DSCompiler,org/apache/commons/math3/analysis/differentiation/DSCompiler.java,1810
math3.6.1,private,3,False,"org.apache.commons.math3.analysis.differentiation.DSCompiler.compileSizes(int,int,DSCompiler)",DSCompiler,compileSizes,"int,int,DSCompiler",org/apache/commons/math3/analysis/differentiation/DSCompiler.java,236
math3.6.1,public,3,False,"org.apache.commons.math3.analysis.differentiation.DSCompiler.cos(double[],int,double[],int)",DSCompiler,cos,"double[],int,double[],int",org/apache/commons/math3/analysis/differentiation/DSCompiler.java,1151
math3.6.1,public,3,False,"org.apache.commons.math3.analysis.differentiation.DSCompiler.cosh(double[],int,double[],int)",DSCompiler,cosh,"double[],int,double[],int",org/apache/commons/math3/analysis/differentiation/DSCompiler.java,1480
math3.6.1,public,3,False,"org.apache.commons.math3.analysis.differentiation.DSCompiler.log(double[],int,double[],int)",DSCompiler,log,"double[],int,double[],int",org/apache/commons/math3/analysis/differentiation/DSCompiler.java,1069
math3.6.1,public,3,False,"org.apache.commons.math3.analysis.differentiation.DSCompiler.log10(double[],int,double[],int)",DSCompiler,log10,"double[],int,double[],int",org/apache/commons/math3/analysis/differentiation/DSCompiler.java,1123
math3.6.1,public,3,False,"org.apache.commons.math3.analysis.differentiation.DSCompiler.log1p(double[],int,double[],int)",DSCompiler,log1p,"double[],int,double[],int",org/apache/commons/math3/analysis/differentiation/DSCompiler.java,1096
math3.6.1,public,3,False,"org.apache.commons.math3.analysis.differentiation.DSCompiler.multiply(double[],int,double[],int,double[],int)",DSCompiler,multiply,"double[],int,double[],int,double[],int",org/apache/commons/math3/analysis/differentiation/DSCompiler.java,775
math3.6.1,public,3,False,"org.apache.commons.math3.analysis.differentiation.DSCompiler.pow(double[],int,double,double[],int)",DSCompiler,pow,"double[],int,double,double[],int",org/apache/commons/math3/analysis/differentiation/DSCompiler.java,886
math3.6.1,public,3,False,"org.apache.commons.math3.analysis.differentiation.DSCompiler.sin(double[],int,double[],int)",DSCompiler,sin,"double[],int,double[],int",org/apache/commons/math3/analysis/differentiation/DSCompiler.java,1177
math3.6.1,public,3,False,"org.apache.commons.math3.analysis.differentiation.DSCompiler.sinh(double[],int,double[],int)",DSCompiler,sinh,"double[],int,double[],int",org/apache/commons/math3/analysis/differentiation/DSCompiler.java,1506
math3.6.1,public,3,True,"org.apache.commons.math3.analysis.differentiation.DerivativeStructure.DerivativeStructure(int,int,int,double)",DerivativeStructure,DerivativeStructure,"int,int,int,double",org/apache/commons/math3/analysis/differentiation/DerivativeStructure.java,115
math3.6.1,public,3,False,"org.apache.commons.math3.analysis.differentiation.DerivativeStructure.linearCombination(double[],DerivativeStructure[])",DerivativeStructure,linearCombination,"double[],DerivativeStructure[]",org/apache/commons/math3/analysis/differentiation/DerivativeStructure.java,935
math3.6.1,public,3,False,org.apache.commons.math3.analysis.differentiation.FiniteDifferencesDifferentiator.differentiate(UnivariateFunction),FiniteDifferencesDifferentiator,differentiate,UnivariateFunction,org/apache/commons/math3/analysis/differentiation/FiniteDifferencesDifferentiator.java,244
math3.6.1,public,3,False,org.apache.commons.math3.analysis.differentiation.GradientFunction.value(double[]),GradientFunction,value,double[],org/apache/commons/math3/analysis/differentiation/GradientFunction.java,41
math3.6.1,private,3,True,"org.apache.commons.math3.analysis.differentiation.SparseGradient.SparseGradient(double,double,Map<Integer,Double>)",SparseGradient,SparseGradient,"double,double,Map<Integer,Double>",org/apache/commons/math3/analysis/differentiation/SparseGradient.java,77
math3.6.1,public,3,False,org.apache.commons.math3.analysis.differentiation.SparseGradient.add(SparseGradient),SparseGradient,add,SparseGradient,org/apache/commons/math3/analysis/differentiation/SparseGradient.java,138
math3.6.1,public,3,False,org.apache.commons.math3.analysis.differentiation.SparseGradient.addInPlace(SparseGradient),SparseGradient,addInPlace,SparseGradient,org/apache/commons/math3/analysis/differentiation/SparseGradient.java,165
math3.6.1,public,3,False,org.apache.commons.math3.analysis.differentiation.SparseGradient.atan2(SparseGradient),SparseGradient,atan2,SparseGradient,org/apache/commons/math3/analysis/differentiation/SparseGradient.java,580
math3.6.1,public,3,False,"org.apache.commons.math3.analysis.differentiation.SparseGradient.linearCombination(double[],SparseGradient[])",SparseGradient,linearCombination,"double[],SparseGradient[]",org/apache/commons/math3/analysis/differentiation/SparseGradient.java,709
math3.6.1,public,3,False,org.apache.commons.math3.analysis.differentiation.SparseGradient.rootN(int),SparseGradient,rootN,int,org/apache/commons/math3/analysis/differentiation/SparseGradient.java,469
math3.6.1,public,3,False,org.apache.commons.math3.analysis.differentiation.SparseGradient.subtract(SparseGradient),SparseGradient,subtract,SparseGradient,org/apache/commons/math3/analysis/differentiation/SparseGradient.java,185
math3.6.1,private,3,False,org.apache.commons.math3.analysis.function.HarmonicOscillator$Parametric.validateParameters(double[]),HarmonicOscillator$Parametric,validateParameters,double[],org/apache/commons/math3/analysis/function/HarmonicOscillator.java,139
math3.6.1,public,3,False,org.apache.commons.math3.analysis.function.HarmonicOscillator.value(DerivativeStructure),HarmonicOscillator,value,DerivativeStructure,org/apache/commons/math3/analysis/function/HarmonicOscillator.java,164
math3.6.1,private,3,False,org.apache.commons.math3.analysis.function.Logit$Parametric.validateParameters(double[]),Logit$Parametric,validateParameters,double[],org/apache/commons/math3/analysis/function/Logit.java,138
math3.6.1,private,3,False,"org.apache.commons.math3.analysis.function.Logit.value(double,double,double)",Logit,value,"double,double,double",org/apache/commons/math3/analysis/function/Logit.java,157
math3.6.1,private,3,False,org.apache.commons.math3.analysis.function.Sigmoid$Parametric.validateParameters(double[]),Sigmoid$Parametric,validateParameters,double[],org/apache/commons/math3/analysis/function/Sigmoid.java,140
math3.6.1,public,3,False,org.apache.commons.math3.analysis.function.Sinc.value(double),Sinc,value,double,org/apache/commons/math3/analysis/function/Sinc.java,85
