project,access,cc,is_constructor,method_fen,class_name_guess,method_name,params_types,file,line_number
lang3.20,public,18,False,"org.apache.commons.lang3.text.translate.NumericEntityUnescaper.translate(CharSequence,int,Writer)",NumericEntityUnescaper,translate,"CharSequence,int,Writer",org/apache/commons/lang3/text/translate/NumericEntityUnescaper.java,107
lang3.20,public,18,False,"org.apache.commons.lang3.time.DateUtils.iterator(Calendar,int)",DateUtils,iterator,"Calendar,int",org/apache/commons/lang3/time/DateUtils.java,971
lang3.20,public,17,False,org.apache.commons.lang3.Conversion.intToHexDigitMsb0(int),Conversion,intToHexDigitMsb0,int,org/apache/commons/lang3/Conversion.java,1005
lang3.20,private,17,False,org.apache.commons.lang3.StringUtils.convertRemainingAccentCharacters(StringBuilder),StringUtils,convertRemainingAccentCharacters,StringBuilder,org/apache/commons/lang3/StringUtils.java,1369
lang3.20,public,15,False,org.apache.commons.lang3.ObjectUtils.isEmpty(Object),ObjectUtils,isEmpty,Object,org/apache/commons/lang3/ObjectUtils.java,959
lang3.20,private,15,False,"org.apache.commons.lang3.reflect.TypeUtils.getTypeArguments(Type,Class<?>,Map<TypeVariable<?>,Type>)",TypeUtils,getTypeArguments,"Type,Class<?>,Map<TypeVariable<?>,Type>",org/apache/commons/lang3/reflect/TypeUtils.java,884
lang3.20,private,15,False,"org.apache.commons.lang3.reflect.TypeUtils.isAssignable(Type,WildcardType,Map<TypeVariable<?>,Type>)",TypeUtils,isAssignable,"Type,WildcardType,Map<TypeVariable<?>,Type>",org/apache/commons/lang3/reflect/TypeUtils.java,1186
lang3.20,private,15,False,"org.apache.commons.lang3.time.FastDateParser.simpleQuote(StringBuilder,String)",FastDateParser,simpleQuote,"StringBuilder,String",org/apache/commons/lang3/time/FastDateParser.java,762
lang3.20,private,15,False,"org.apache.commons.lang3.time.FastDatePrinter.appendFullDigits(Appendable,int,int)",FastDatePrinter,appendFullDigits,"Appendable,int,int",org/apache/commons/lang3/time/FastDatePrinter.java,927
lang3.20,private,14,False,org.apache.commons.lang3.LocaleUtils.parseLocale(String),LocaleUtils,parseLocale,String,org/apache/commons/lang3/LocaleUtils.java,330
lang3.20,public,14,False,org.apache.commons.lang3.StringUtils.indexOfDifference(CharSequence[]),StringUtils,indexOfDifference,CharSequence[],org/apache/commons/lang3/StringUtils.java,2942
lang3.20,private,14,False,"org.apache.commons.lang3.StringUtils.matches(CharSequence,CharSequence)",StringUtils,matches,"CharSequence,CharSequence",org/apache/commons/lang3/StringUtils.java,5251
lang3.20,public,14,False,"org.apache.commons.lang3.builder.DiffBuilder.append(String,Object,Object)",DiffBuilder,append,"String,Object,Object",org/apache/commons/lang3/builder/DiffBuilder.java,513
lang3.20,private,14,False,"org.apache.commons.lang3.reflect.MemberUtils.getTotalTransformationCost(Class<?>[],Executable)",MemberUtils,getTotalTransformationCost,"Class<?>[],Executable",org/apache/commons/lang3/reflect/MemberUtils.java,199
