project,access,cc,is_constructor,method_fen,class_name_guess,method_name,params_types,file,line_number
lang3.20,protected,4,False,"org.apache.commons.lang3.text.StrBuilder.validateRange(int,int)",StrBuilder,validateRange,"int,int",org/apache/commons/lang3/text/StrBuilder.java,3047
lang3.20,public,4,False,"org.apache.commons.lang3.text.StrMatcher.isMatch(char[],int,int,int)",StrMatcher,isMatch,"char[],int,int,int",org/apache/commons/lang3/text/StrMatcher.java,152
lang3.20,public,4,False,"org.apache.commons.lang3.text.StrSubstitutor.replace(Object,Properties)",StrSubstitutor,replace,"Object,Properties",org/apache/commons/lang3/text/StrSubstitutor.java,205
lang3.20,private,4,False,"org.apache.commons.lang3.text.StrTokenizer.addToken(List<String>,String)",StrTokenizer,addToken,"List<String>,String",org/apache/commons/lang3/text/StrTokenizer.java,415
lang3.20,private,4,False,"org.apache.commons.lang3.text.StrTokenizer.isQuote(char[],int,int,int,int)",StrTokenizer,isQuote,"char[],int,int,int,int",org/apache/commons/lang3/text/StrTokenizer.java,615
lang3.20,public,4,False,"org.apache.commons.lang3.text.WordUtils.capitalizeFully(String,char[])",WordUtils,capitalizeFully,"String,char[]",org/apache/commons/lang3/text/WordUtils.java,163
lang3.20,public,4,False,org.apache.commons.lang3.time.AbstractFormatCache.equals(Object),AbstractFormatCache,equals,Object,org/apache/commons/lang3/time/AbstractFormatCache.java,59
lang3.20,package-private,4,False,"org.apache.commons.lang3.time.AbstractFormatCache.getPatternForStyle(Integer,Integer,Locale)",AbstractFormatCache,getPatternForStyle,"Integer,Integer,Locale",org/apache/commons/lang3/time/AbstractFormatCache.java,104
lang3.20,public,4,False,org.apache.commons.lang3.time.FastDateParser.equals(Object),FastDateParser,equals,Object,org/apache/commons/lang3/time/FastDateParser.java,875
lang3.20,package-private,4,False,org.apache.commons.lang3.time.FastDateParser.getMaxWidth(ListIterator<StrategyAndWidth>),FastDateParser,getMaxWidth,ListIterator<StrategyAndWidth>,org/apache/commons/lang3/time/FastDateParser.java,409
lang3.20,package-private,4,False,org.apache.commons.lang3.time.FastDateParser.getStrategy(int),FastDateParser,getStrategy,int,org/apache/commons/lang3/time/FastDateParser.java,212
lang3.20,package-private,4,False,"org.apache.commons.lang3.time.FastDateParser.parse(FastDateParser,Calendar,String,ParsePosition,int)",FastDateParser,parse,"FastDateParser,Calendar,String,ParsePosition,int",org/apache/commons/lang3/time/FastDateParser.java,170
lang3.20,package-private,4,False,"org.apache.commons.lang3.time.FastDateParser.setCalendar(FastDateParser,Calendar,String)",FastDateParser,setCalendar,"FastDateParser,Calendar,String",org/apache/commons/lang3/time/FastDateParser.java,121
lang3.20,package-private,4,False,"org.apache.commons.lang3.time.FastDateParser.setCalendar(FastDateParser,Calendar,String)",FastDateParser,setCalendar,"FastDateParser,Calendar,String",org/apache/commons/lang3/time/FastDateParser.java,602
lang3.20,public,4,False,org.apache.commons.lang3.time.FastDatePrinter.equals(Object),FastDatePrinter,equals,Object,org/apache/commons/lang3/time/FastDatePrinter.java,1108
lang3.20,package-private,4,False,org.apache.commons.lang3.time.FastDatePrinter.format(Object),FastDatePrinter,format,Object,org/apache/commons/lang3/time/FastDatePrinter.java,1216
lang3.20,public,4,False,"org.apache.commons.lang3.time.FastDatePrinter.format(Object,StringBuffer,FieldPosition)",FastDatePrinter,format,"Object,StringBuffer,FieldPosition",org/apache/commons/lang3/time/FastDatePrinter.java,1240
lang3.20,package-private,4,False,org.apache.commons.lang3.time.FastDatePrinter.getRule(int),FastDatePrinter,getRule,int,org/apache/commons/lang3/time/FastDatePrinter.java,177
lang3.20,public,4,False,org.apache.commons.lang3.time.GmtTimeZone.equals(Object),GmtTimeZone,equals,Object,org/apache/commons/lang3/time/GmtTimeZone.java,63
lang3.20,public,4,False,org.apache.commons.lang3.time.StopWatch.stop(),StopWatch,stop,,org/apache/commons/lang3/time/StopWatch.java,713
lang3.20,private,3,False,"org.apache.commons.lang3.AnnotationUtils.hashMember(String,Object)",AnnotationUtils,hashMember,"String,Object",org/apache/commons/lang3/AnnotationUtils.java,264
lang3.20,public,3,False,"org.apache.commons.lang3.ArrayUtils.add(T[],int,T)",ArrayUtils,add,"T[],int,T",org/apache/commons/lang3/ArrayUtils.java,778
lang3.20,public,3,False,"org.apache.commons.lang3.ArrayUtils.addAll(boolean[],boolean[])",ArrayUtils,addAll,"boolean[],boolean[]",org/apache/commons/lang3/ArrayUtils.java,855
lang3.20,public,3,False,"org.apache.commons.lang3.ArrayUtils.addAll(byte[],byte[])",ArrayUtils,addAll,"byte[],byte[]",org/apache/commons/lang3/ArrayUtils.java,887
lang3.20,public,3,False,"org.apache.commons.lang3.ArrayUtils.addAll(char[],char[])",ArrayUtils,addAll,"char[],char[]",org/apache/commons/lang3/ArrayUtils.java,919
lang3.20,public,3,False,"org.apache.commons.lang3.ArrayUtils.addAll(double[],double[])",ArrayUtils,addAll,"double[],double[]",org/apache/commons/lang3/ArrayUtils.java,951
lang3.20,public,3,False,"org.apache.commons.lang3.ArrayUtils.addAll(float[],float[])",ArrayUtils,addAll,"float[],float[]",org/apache/commons/lang3/ArrayUtils.java,983
lang3.20,public,3,False,"org.apache.commons.lang3.ArrayUtils.addAll(int[],int[])",ArrayUtils,addAll,"int[],int[]",org/apache/commons/lang3/ArrayUtils.java,1015
lang3.20,public,3,False,"org.apache.commons.lang3.ArrayUtils.addAll(long[],long[])",ArrayUtils,addAll,"long[],long[]",org/apache/commons/lang3/ArrayUtils.java,1047
lang3.20,public,3,False,"org.apache.commons.lang3.ArrayUtils.addAll(short[],short[])",ArrayUtils,addAll,"short[],short[]",org/apache/commons/lang3/ArrayUtils.java,1079
lang3.20,public,3,False,"org.apache.commons.lang3.ArrayUtils.isSameType(Object,Object)",ArrayUtils,isSameType,"Object,Object",org/apache/commons/lang3/ArrayUtils.java,3578
lang3.20,public,3,False,"org.apache.commons.lang3.ArrayUtils.nullToEmpty(T[],Class<T[]>)",ArrayUtils,nullToEmpty,"T[],Class<T[]>",org/apache/commons/lang3/ArrayUtils.java,4721
lang3.20,public,3,False,"org.apache.commons.lang3.ArrayUtils.reverse(Object[],int,int)",ArrayUtils,reverse,"Object[],int,int",org/apache/commons/lang3/ArrayUtils.java,6866
lang3.20,public,3,False,"org.apache.commons.lang3.ArrayUtils.reverse(boolean[],int,int)",ArrayUtils,reverse,"boolean[],int,int",org/apache/commons/lang3/ArrayUtils.java,6541
lang3.20,public,3,False,"org.apache.commons.lang3.ArrayUtils.reverse(byte[],int,int)",ArrayUtils,reverse,"byte[],int,int",org/apache/commons/lang3/ArrayUtils.java,6587
lang3.20,public,3,False,"org.apache.commons.lang3.ArrayUtils.reverse(char[],int,int)",ArrayUtils,reverse,"char[],int,int",org/apache/commons/lang3/ArrayUtils.java,6633
lang3.20,public,3,False,"org.apache.commons.lang3.ArrayUtils.reverse(double[],int,int)",ArrayUtils,reverse,"double[],int,int",org/apache/commons/lang3/ArrayUtils.java,6679
lang3.20,public,3,False,"org.apache.commons.lang3.ArrayUtils.reverse(float[],int,int)",ArrayUtils,reverse,"float[],int,int",org/apache/commons/lang3/ArrayUtils.java,6725
lang3.20,public,3,False,"org.apache.commons.lang3.ArrayUtils.reverse(int[],int,int)",ArrayUtils,reverse,"int[],int,int",org/apache/commons/lang3/ArrayUtils.java,6771
lang3.20,public,3,False,"org.apache.commons.lang3.ArrayUtils.reverse(long[],int,int)",ArrayUtils,reverse,"long[],int,int",org/apache/commons/lang3/ArrayUtils.java,6817
lang3.20,public,3,False,"org.apache.commons.lang3.ArrayUtils.reverse(short[],int,int)",ArrayUtils,reverse,"short[],int,int",org/apache/commons/lang3/ArrayUtils.java,6912
lang3.20,public,3,False,"org.apache.commons.lang3.ArrayUtils.setAll(T[],IntFunction<?extends T>)",ArrayUtils,setAll,"T[],IntFunction<?extends T>",org/apache/commons/lang3/ArrayUtils.java,6941
lang3.20,public,3,False,"org.apache.commons.lang3.ArrayUtils.subarray(T[],int,int)",ArrayUtils,subarray,"T[],int,int",org/apache/commons/lang3/ArrayUtils.java,8243
lang3.20,public,3,False,"org.apache.commons.lang3.ArrayUtils.subarray(boolean[],int,int)",ArrayUtils,subarray,"boolean[],int,int",org/apache/commons/lang3/ArrayUtils.java,7962
lang3.20,public,3,False,"org.apache.commons.lang3.ArrayUtils.subarray(byte[],int,int)",ArrayUtils,subarray,"byte[],int,int",org/apache/commons/lang3/ArrayUtils.java,7996
lang3.20,public,3,False,"org.apache.commons.lang3.ArrayUtils.subarray(char[],int,int)",ArrayUtils,subarray,"char[],int,int",org/apache/commons/lang3/ArrayUtils.java,8030
lang3.20,public,3,False,"org.apache.commons.lang3.ArrayUtils.subarray(double[],int,int)",ArrayUtils,subarray,"double[],int,int",org/apache/commons/lang3/ArrayUtils.java,8064
lang3.20,public,3,False,"org.apache.commons.lang3.ArrayUtils.subarray(float[],int,int)",ArrayUtils,subarray,"float[],int,int",org/apache/commons/lang3/ArrayUtils.java,8098
lang3.20,public,3,False,"org.apache.commons.lang3.ArrayUtils.subarray(int[],int,int)",ArrayUtils,subarray,"int[],int,int",org/apache/commons/lang3/ArrayUtils.java,8132
lang3.20,public,3,False,"org.apache.commons.lang3.ArrayUtils.subarray(long[],int,int)",ArrayUtils,subarray,"long[],int,int",org/apache/commons/lang3/ArrayUtils.java,8166
lang3.20,public,3,False,"org.apache.commons.lang3.ArrayUtils.subarray(short[],int,int)",ArrayUtils,subarray,"short[],int,int",org/apache/commons/lang3/ArrayUtils.java,8200
