project,access,cc,is_constructor,method_fen,class_name,method_name,params_types,file,line_number,coverage_status,full_coverage,not_full_reasons,line_cov_summary,instr_cov_summary,branch_cov_summary,tests,calls
lang3.20,public,14,False,"org.apache.commons.lang3.builder.DiffBuilder.append(String,Object,Object)",org.apache.commons.lang3.builder.DiffBuilder,append,"String,Object,Object",org/apache/commons/lang3/builder/DiffBuilder.java,513,ok,False,line_not_full;instr_not_full;branch_not_full,60.9% (28/46),55.8% (329/590),76.0% (73/96),76,0
lang3.20,private,14,False,"org.apache.commons.lang3.reflect.MemberUtils.getTotalTransformationCost(Class<?>[],Executable)",org.apache.commons.lang3.reflect.MemberUtils,getTotalTransformationCost,"Class<?>[],Executable",org/apache/commons/lang3/reflect/MemberUtils.java,199,method-lines-missing,False,status=method-lines-missing,% (/),% (/),% (/),0,0
lang3.20,public,14,False,"org.apache.commons.lang3.reflect.MethodUtils.getMatchingAccessibleMethod(Class<?>,String,Class<?>[])",org.apache.commons.lang3.reflect.MethodUtils,getMatchingAccessibleMethod,"Class<?>,String,Class<?>[]",org/apache/commons/lang3/reflect/MethodUtils.java,319,ok,False,line_not_full;instr_not_full;branch_not_full,95.7% (22/23),93.6% (103/110),72.7% (16/22),0,0
lang3.20,private,14,False,"org.apache.commons.lang3.reflect.TypeUtils.isAssignable(Type,TypeVariable<?>,Map<TypeVariable<?>,Type>)",org.apache.commons.lang3.reflect.TypeUtils,isAssignable,"Type,TypeVariable<?>,Map<TypeVariable<?>,Type>",org/apache/commons/lang3/reflect/TypeUtils.java,1148,error(rc=1),False,status=error(rc=1),% (/),% (/),% (/),,
lang3.20,public,14,False,org.apache.commons.lang3.tuple.Triple.equals(Object),org.apache.commons.lang3.tuple.Triple,equals,Object,org/apache/commons/lang3/tuple/Triple.java,129,ok,False,line_not_full;instr_not_full;branch_not_full,87.5% (7/8),94.3% (33/35),90.0% (9/10),0,0
lang3.20,package-private,13,False,"org.apache.commons.lang3.CharSequenceUtils.regionMatches(CharSequence,boolean,int,CharSequence,int,int)",org.apache.commons.lang3.CharSequenceUtils,regionMatches,"CharSequence,boolean,int,CharSequence,int,int",org/apache/commons/lang3/CharSequenceUtils.java,295,error(rc=1),False,status=error(rc=1),% (/),% (/),% (/),,
lang3.20,private,13,False,org.apache.commons.lang3.ClassUtils.getCanonicalName(String),org.apache.commons.lang3.ClassUtils,getCanonicalName,String,org/apache/commons/lang3/ClassUtils.java,476,ok,False,instr_not_full;branch_not_full,100.0% (10/10),88.6% (31/35),75.0% (6/8),0,0
lang3.20,public,13,False,org.apache.commons.lang3.LocaleUtils.toLocale(String),org.apache.commons.lang3.LocaleUtils,toLocale,String,org/apache/commons/lang3/LocaleUtils.java,400,ok,False,line_not_full;instr_not_full;branch_not_full,92.3% (24/26),87.1% (142/163),92.3% (24/26),0,0
lang3.20,public,12,False,"org.apache.commons.lang3.AnnotationUtils.equals(Annotation,Annotation)",org.apache.commons.lang3.AnnotationUtils,equals,"Annotation,Annotation",org/apache/commons/lang3/AnnotationUtils.java,196,ok,False,line_not_full;instr_not_full;branch_not_full,76.2% (16/21),91.5% (86/94),75.0% (12/16),13,5
lang3.20,package-private,12,False,"org.apache.commons.lang3.ArrayUtils.removeAll(Object,int[])",org.apache.commons.lang3.ArrayUtils,removeAll,"Object,int[]",org/apache/commons/lang3/ArrayUtils.java,5317,ok,False,line_not_full;instr_not_full;branch_not_full,92.5% (37/40),89.9% (160/178),95.5% (21/22),0,0
